Name,IATA,ICAO,Callsign,Country,Active
Stateswest Airlines,,SWJ,STATES,United States,N
Surninam International Victory Airline,,SWO,SIVA,Suriname,N
Star Work Sky,,SWP,STAR WORK,Italy,N
Swift Air (Interstate Equipment Leasing),,SWQ,SWIFTFLIGHT,United States,N
Swiss International Air Lines,LX,SWR,SWISS,Switzerland,Y
Swissair,SR,SWR,Swissair,Switzerland,Y
Sunwest Aviation (Lindquist Investment),,SWS,SUNNY WEST,United States,N
Swiftair,,SWT,SWIFT,Spain,N
Swiss European Air Lines,,SWU,EUROSWISS,Switzerland,Y
Swe Fly,WV,SWV,FLYING SWEDE,Sweden,Y
Shovkoviy Shlyah,S8,SWW,WAY AERO,Ukraine,N
Swazi Express Airways,,SWX,SWAZI EXPRESS,Swaziland,N
Sky Jet,,SWY,SWISSLINK,Switzerland,N
Servair,,SWZ, Private Charter,SWISSBIRD,N
Southern Cross Aviation,,SXA,FERRY,United States,N
Sky Exec Aviation Services,,SXC,SKY EXEC,Nigeria,N
Southeast Express Airlines,,SXE,DOGWOOD EXPRESS,United States,N
Servicios Aereos Sepecializados Mexicanos,,SXM,SERVIMEX,Mexico,N
SunExpress,XQ,SXS,SUNEXPRESS,Turkey,Y
Servicios De Taxi Aereo,,SXT,SERTA,Mexico,N
Satellite Aero,,SXX,SATELLITE EXPRESS,United States,N
Safari Express Cargo,,SXY,SAFARI EXPRESS,Kenya,N
Skyways,,SYA,LINEAS CARDINAL,Argentina,N
Systec 2000,,SYC,SYSTEC,United States,N
Sheba Aviation,,SYE,,Yemen,N
Sky One Express Airlines,,SYF,SKY FIRST,United States,N
Synergy Aviation,,SYG,SYNERGY,United Kingdom,N
Sonalysts,,SYI,,United States,N
Slate Falls Airways,,SYJ,,Canada,N
Satsair,,SYK,AEROCAB,United States,N
Syncrude Canada,,SYN,SYNCRUDE,Canada,N
Syrian Arab Airlines,RB,SYR,SYRIANAIR,Syrian Arab Republic,Y
Shawbury Flying Training Unit,,SYS,SHAWBURY,United Kingdom,N
Special Aviation Systems,,SYV,SPECIAL SYSTEM,United States,N
Skywalk Airlines,AL,SYX,SKYWAY-EX,United States,Y
Silk Way Airlines,ZP,AZQ,SILK LINE,Azerbaijan,N
South African Historic Flight,,SYY,SKY COACH,South Africa,N
Servicios Aeronauticos Z,,SZT,AERO ZEE,Mexico,N
Specavia Air Company,,BHV,AVIASPEC,Russia,N
Starair,,BLY,BLARNEY,Ireland,N
Sundance Air,,BNC,BARNACLE AIR,United States,N
Samara Airlines,E5,BRZ,BERYOZA,Russia,N
Spark+ Joint-Stock Company,,BVV,SPARK,Russia,N
Swedish Civil Aviation Administration,,CBN,CALIBRATION,Sweden,N
Shandong Airlines,SC,CDG,SHANDONG,China,Y
Spectrem Air,,CDS,SPECDAS,South Africa,N
Servicios Aereos Centrales,,CEE,CENTRA AEREOS,Mexico,N
Swedish Airlines,,CFL,SWEDISH,Sweden,N
Seagle Air,,CGL,SEAGLE,Slovakia,N
Sirius-Aero,,CIG,SIRIUS AERO,Russia,N
Sunwest Home Aviation,,CNK,CHINOOK,Canada,N
SAS Braathens,,CNO,SCANOR,Norway,Y
Spring Airlines,9S,CQH,AIR SPRING,China,Y
Sichuan Airlines,3U,CSC,SI CHUAN,China,Y
Shanghai Airlines,FM,CSH,SHANGHAI AIR,China,Y
Shuangyang General Aviation,,CSY,SHUANGYANG,China,N
Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China,Y
Shanxi Airlines,8C,CXI,SHANXI,China,N
Sioux Falls Aviation,,DKT,DAKOTA,United States,N
Servicios Aereos Elite,,DKY,DAKOY,Spain,N
Servicios Aereos Denim,,DNI,AERO DENIM,Mexico,N
Swiss Eagle,,EAB,SWISS EAGLE,Switzerland,N
Skypower Express Airways,,EAN,NIGERIA EXPRESS,Nigeria,N
Scenic Air,,ENR,,Namibia,N
Sun D'Or,7L,ERO,ECHO ROMEO,Israel,Y
SkyEurope,NE,ESK,RELAX,Slovakia,Y
Sunshine Express Airlines,CQ,EXL,,Australia,N
South African Express,,EXY,EXPRESSWAYS,South Africa,N
Stuttgarter Flugdienst,,FFD,FIRST FLIGHT,Germany,N
Shalom Air Services,,FFH,PEACE AIR,Nigeria,N
Silverjet,,FJE,ENVOY,United Kingdom,N
Sky Bus,,FLH,MILE HIGH,United States,N
South Coast Aviation,,GAD,SOUTHCOAST,United Kingdom,N
Servicios Aereos Gadel,,GDE,GADEL,Mexico,N
S.P. Aviation,,GDG,GOLDEN GATE,United States,N
Seba Airlines,,GIK,SEBA,Guinea,N
Servicios Aereos Gana,,GNA,SERVIGANA,Mexico,N
Sky Wings Airlines,,GSW,,Greece,N
Star XL German Airlines,,GXL,STARDUST,Germany,N
Skyhaul,,HAU,SKYHAUL,Japan,N
Starship,,HIP,STARSA,Mexico,N
Servicios Ejecutivos Gosa,,HJE,GOSA,Mexico,N
Superior Aviation,SO,HKA,SPEND AIR,United States,N
Samaritan Air Service,,HLO,HALO,Canada,N
Skyraidybos Mokymo Centras,,HRI,HELIRIM,Lithuania,N
Sky Europe Airlines,,HSK,MATRA,Slovakia,Y
Svenska Direktflyg,,HSV,HIGHSWEDE,Sweden,N
Sky Helicopteros,,HSY,HELISKY,Spain,N
Skytaxi,,IGA,IGUANA,Poland,N
Silvair,,IJS,,United States,N
Servicios Aereos Ilsa,,ILS,SERVICIOS ILSA,Mexico,N
Sincom-Avia,,INK,SINCOM AVIA,Ukraine,N
Safat Airlines,,IRV,SAFAT AIR,Iran,N
Saha Airlines Services,,IRZ,SAHA,Iran,N
Sunline Express,,JAM,SUNTRACK,Kenya,N
Secure Air Charter,,JCM,SECUREAIR,United States,N
Sark International Airways,,JIM,SARK,United Kingdom,N
Spanair,JK,JKK,SPANAIR,Spain,Y
Salem,,KKS,KOKSHE,Kazakhstan,N
Servicios Aereos Copters,,KOP,COPTERS,Chile,N
Servicios Aereos Expecializados En Transportes Petroleros,,KSP,SAEP,Colombia,N
Skybridge Airops,,KYB,SKY AIROPS,Italy,N
Sky Aeronautical Services,,KYR,SKY AERONAUTICAL,Mexico,N
Servicios Aereos Ejecutivos De La Laguna,,LGU,LAGUNA,Mexico,N
Servico Leo Lopex,,LLA,LEO LOPOZ,Mexico,N
Servicios Aereos Estrella,,LLS,SERVIESTRELLA,Mexico,N
South African Air Force,,LMG,SOUTH AFRICAN,South Africa,N
Sky Limo Corporation,,LMO,SKY LIMO,United States,N
SANSA,,LRS,,Costa Rica,N
Spectrum Aviation Incorporated,,LSP,AIR TONY,United Kingdom,N
SOS Helikoptern Gotland,,MCG,MEDICOPTER,Sweden,N
Sundt Air,,MDT,MIDNIGHT,Norway,N
Servicios Aereos Milenio,,MLO,MILENIO,Mexico,N
SAAD (A320) Limited,,MMS,MUSAAD AIR,Cayman Islands,N
Servicios Aereos Moritani,,MRI,MORITANI,Mexico,N
San Juan Airlines,2G,MRR,MARINER,United States,N
Servico Aereo Regional,,MSG,SAR-REGIONAL,Mozambique,N
Servicio De Viglancia Aerea Del Ministerio De Seguridad Publica,,MSP,SEGURIDAD,Costa Rica,N
Servicios Aereos MTT,,MTG,,Mexico,N
Sabre Pacific,1Z,,,Australia,N
Sabre,1S,,,United States,N
Sierra Nevada Airlines,1I,,,United States,N
Siren-Travel,1H,,,Russia,N
Sirena,1Q,,,Russia,N
Sky Trek International Airlines,1I,,,,N
Southern Cross Distribution,1K,,,Australia,N
Sutra,1K,,,United States,N
SNCF,2C,,,France,N
Star Equatorial Airlines,2S,,,Guinea,N
Seulawah Nad Air,,NAD,SEULAWAH,Indonesia,N
Servicios Aereos del Nazas SA de CV,,NAZ,NAZAS,Mexico,N
Simpson Air Ltd,,NCS,COMMUTER-CANADA,Canada,N
Spirit Airlines,NK,NKS,SPIRIT WINGS,United States,Y
Servicios Aereos Latinoamericanos,,NON,SERVICIOS LATINO,Mexico,N
Servicios Aereos Monarrez,,NRZ,MONARREZ,Mexico,N
Societe De Transport Aerien De Mauritanie,,NSC,TRANS-SOCIETE,Mauritania,N
SATENA,9R,NSE,SATENA,Colombia,Y
Servicios Aereos Del Norte,,NTB,SERVINORTE,Mexico,N
Servicios Intergrales De Aviacion,,NTG,INTERGRALES,Mexico,N
Slok Air Gambia,S0,OKS,SLOK GAMBIA,Gambia,N
Soko Aviation,,OKT,SOKO AIR,Spain,N
Solar Cargo,,OLC,SOLARCARGO,Venezuela,N
Soloflight,,OLO,SOLO,United Kingdom,N
Sonnig SA,,ONG,SONNIG,Switzerland,N
Sosoliso Airlines,SO,OSL,SOSOLISO,Nigeria,N
Servicios Aereos Noticiosos,,OSS,NOTICIOSOS,Mexico,N
South Airlines,,OTL,SOUTHLINE,Ukraine,N
Skywest Airlines,,OZW,OZWEST,Australia,Y
Sokol,,PIV,AEROSOKOL,Russia,N
South Carolina Aeronautics Commission,,PLT,PALMETTO,United States,N
Servicios Aereos Premier,,PMR,SERVICIOS PREMIER,Mexico,N
Survey Udara (Penas),,PNS,PENAS,Indonesia,N
Servicios Aereos Poblanos,,POB,POBLANOS,Mexico,N
Servicios Aereos Profesionales,,PSV,PROSERVICIOS,Dominican Republic,N
Southeastern Airways,,PTM,POSTMAN,United States,N
Spurwing Airlines,,PUR,SPURWING,South Africa,N
Sky Trek International Airlines,1I,PZR,PHAZER,United States,N
Shandong Airlines Rainbow Jet,,RBW,CAI HONG,China,N
SA Airlink Regional,,REJ,REGIONAL LINK,South Africa,N
Servicio Aereo Regional Regair,,RER,REGAIR,Ecuador,N
Scoala Superioara De Aviatie Civila,,RFT,ROMANIAN ACADEMY,Romania,N
Servicios Aereos Regiomontanos,,RGC,REGIOMONTANO,Mexico,N
S-Air,,RLS,S-AIRLINES,Russia,N
Servicios De Rampa Y Mostrador,,RMP,SERAMSA,Mexico,N
SNAS Aviation,,RSE,RED SEA,Saudi Arabia,N
Skybus Airlines,SX,SKB,SKYBUS,United States,N
Skymaster Air Lines,,SKC,SKYMASTER AIR,United States,N
Sky Harbor Air Service,,SKD,SKY DAWG,United States,N
Sky Tours,,SKE,SKYISLE,United States,N
Sakaviaservice,,AZG,SAKSERVICE,Georgia,N
Skycraft,,SKF,SKYCRAFT,United States,N
Skycraft Air Transport,,SKG,SKYCRAFT-CANADA,Canada,N
Skyking,,SKI,SKYKING,United Kingdom,N
SkyKing Turks and Caicos Airways,RU,SKI,SKYKING,Turks and Caicos Islands,N
Skylink Aviation,,SKK,SKYLINK,Canada,N
Skycharter (Malton),,SKL,SKYCHARTER,Canada,N
Skyline Aviation Services,,SKN,SKYLINER,United States,N
Scottish Airways Flyers,,SKO,SKYWORK,United Kingdom,N
Skyscapes Air Charters,,SKR,SKYSCAPES,South Africa,N
Sky Service,,SKS,SKY SERVICE,Belgium,N
Santa Barbara Airlines,S3,BBR,SANTA BARBARA,Venezuela,Y
Skystar Airways,,SKT,SKY YOU,Thailand,N
Sky Airline,H2,SKU,AEROSKY,Chile,Y
SkyWest,OO,SKW,SKYWEST,United States,Y
Skyways Express,JZ,SKX,SKY EXPRESS,Sweden,Y
Skymark Airlines,BC,SKY,SKYMARK,Japan,Y
Skyway Enterprises,,SKZ,SKYWAY-INC,United States,N
Sierra National Airlines,LJ,SLA,SELAIR,Sierra Leone,N
Slok Air,,SLB,SLOK AIR,Nigeria,N
Silver Air,,SLD,SILVERLINE,Czech Republic,N
Streamline,,SLE,SLIPSTREAM,South Africa,N
Starfly,,SLF,ELISTARFLY,Italy,N
Saskatchewan Government,,SLG,LIFEGUARD,Canada,N
Silverhawk Aviation,,SLH,SILVERHAWK,United States,N
Servicios Aereos de Los Angeles,,AGE,AEROANGEL,Mexico,N
SilkAir,MI,SLK,SILKAIR,Singapore,Y
Slovak Airlines,6Q,SLL,SLOV LINE,Slovakia,N
Surinam Airways,PY,SLM,SURINAM,Suriname,Y
Sloane Aviation,,SLN,SLOANE,United Kingdom,N
Salpa Aviation,,SLP,SALPA,Sudan,N
Servicios Aereos Slainte,,SLS,SERVICIOS SLAINTE,Mexico,N
Stella Aviation,,SLV,AVISTELLA,Mauritania,N
Salama Airlines Nigeria,,SLW,SALMA AIR,Nigeria,N
Sete Linhas Aereas,,SLX,SETE,Brazil,N
Sky Line for Air Services,,SLY,SKYCO,Sudan,N
Super Luza,,SLZ,LUZA,Angola,N
SMA Airlines,,SMA,SESAME,Nigeria,N
Sabang Merauke Raya Air Charter,,SMC,SAMER,Indonesia,N
Servicios Aereos La Marquesa,,SMD,SERVICIOS MARQUESA,Mexico,N
Servant Air,8D,,,United States,N
Semos,,SME,SEMICH,Kazakhstan,N
Smalandsflyg,,SMF,GORDON,Sweden,N
Smithair,,SMH,SMITHAIR,United States,N
Semeyavia,,SMK,ERTIS,Kazakhstan,N
Smith Air (1976),,SML,SMITH AIR,Canada,N
Summit Airlines,,SMM,SUMMIT-AIR,United States,N
Samar Air,,SMQ,SAMAR AIR,Tajikistan,N
Somon Air,,SMR,SOMON AIR,Tajikistan,N
Skyline,,SMT,SKYLIMIT,Nigeria,N
Servicios Aerecs Del Sol,,AOS, S.A. de C.V.,AEROSOL,N
Senator Aviation Charter,,SNA,SENATOR,Germany,N
Sterling Airlines,NB,SNB,STERLING,Denmark,Y
Servicios Aereos De Nicaragua (SANSA),,SNE,SANSA,Nicaragua,N
Shans Air,,SNF,SHANS AIR,Russia,N
Senair Services,,SNH,SENSERVICE,Senegal,N
Savanah Airlines,,SNI,SAVANAHLINE,Nigeria,N
Skynet Asia Airways,6J,SNJ,NEWSKY,Japan,Y
Southeast Airlines (Sun Jet International),,SNK,SUN KING,United States,N
Soonair Lines,,SNL,SOONAIR,United States,N
Servizi Aerei,,SNM,SERVIZI AEREI,Italy,N
Sun Pacific International,,SNP,SUN PACIFIC,United States,N
Sun Quest Executive Air Charter,,SNQ,EXECU-QUEST,United States,N
Societe Centrafricaine De Transport Aerien,,SNS,,Central African Republic,N
Suncoast Aviation,,SNT,SUNCOAST,United States,N
Snunit Aviation,,SNU,,Israel,N
Sudanese States Aviation,,SNV,SUDANESE,Sudan,N
Sun West Airlines,,SNW,SUN WEST,United States,N
Sun Air Aviation Services,,SNX,SUNEX,Canada,N
Stabo Freight,,SOB,STABO,Zambia,N
Southern Cargo Air Lines,,SOC,,Russia,N
Southern Ohio Aviation Sales,,SOH,SOUTHERN OHIO,United States,N
Southern Aviation,,SOI,SOAVAIR,Zambia,N
Solomon Airlines,IE,SOL,SOLOMON,Solomon Islands,Y
Somali Airlines,,SOM,SOMALAIR,Somali Republic,N
Sunshine Air Tours,,SON,SUNSHINE TOURS,United States,N
Southern Air,,SOO,SOUTHERN AIR,United States,N
Solinair,,SOP,SOLINAIR,Slovenia,N
Sonair Servico Aereo,,SOR,SONAIR,Angola,N
Southeast Correct Craft,,SOT,SOUTH COURIER,United States,N
Southern Airways,,SOU,SOUTHERN EXPRESS,United States,Y
Saratov Aviation Division,6W,SOV,SARATOV AIR,Russia,Y
Sowind Air,,SOW,SOWIND,Canada,N
Solid Air,,SOX,SOLIDAIR,Netherland,N
Sat Airlines,HZ,SOZ,SATCO,Kazakhstan,Y
Sierra Pacific Airlines,,SPA,SIERRA PACIFIC,United States,N
Springbok Classic Air,,SPB,SPRING CLASSIC,South Africa,N
Skyworld Airlines,,SPC,PORT,United States,N
Sprague Electric Company,,SPE,SPRAGUE,United States,N
Space World Airline,,SPF,SPACE WORLD,Nigeria,N
Springdale Air Service,,SPG,SPRING AIR,United States,N
Sapphire Executive Air,,SPH,SAPPHIRE-CHARTER,South Africa,N
South Pacific Island Airways,,SPI,SOUTH PACIFIC,United States,Y
Servicios Corporativos Aereos De La Laguna,,SPL,CORPORATIVOS LAGUNA,Mexico,N
Skorpion Air,,SPN,AIR SKORPIO,Bulgaria,N
Sapphire Aviation,,SPP,SAPPHIRE,United States,N
Servicios Aereos Palenque,,SPQ,SERVICOS PALENQUE,Mexico,N
Servicios Aereos Tribasa,,TBS,TRIBASA,Mexico,N
Shuttle America,S5,TCF,MERCURY,United States,Y
SAAB Nyge Aero,,TGT,TARGET,Sweden,N
Spark Air,,THB,THAI SABAI,Thailand,N
S C Ion Tiriac,,TIH,TIRIAC AIR,Romania,N
Starlite Aviation,,TRL,STARSTREAM,South Africa,N
Servicios Aereos Corporativos,,TRN,AEROTRON,Mauritania,N
Societe Tout Tranport Mauritanien,,TTM,TOUT-AIR,Mauritania,N
Servicios Aereos Tamazula,,TZU,TAMAZULA,Mexico,N
Shar Ink,,UGP,SHARINK,Russia,N
Second Sverdlovsk Air Enterprise,,UKU,PYSHMA,Russia,N
Servicios Aereos Universitarios,,UNT,UNIVERSITARIO,Mexico,N
Skif-Air,,USK,SKIF-AIR,Ukraine,N
Smarkand Aero Servise,,USN,SAMAS,Uzbekistan,N
Samarkand Airways,,UZS,SOGDIANA,Uzbekistan,N
Servicios Aereos Avandaro,,VDO,AVANDARO,Mexico,N
Stichting Vliegschool 16Hoven,,VGS,SMART,Netherlands,N
Silverback Cargo Freighters,,VRB,SILVERBACK,Rwanda,N
Sirvair,,VRS,VAIRSA,Mexico,N
Scat Air,DV,VSV,VLASTA,Kazakhstan,Y
Sunset Aviation,,VXN,VIXEN,United States,N
Sport Air Travel,,WCC,WEST COAST,United States,N
Swift Copters,,WFC,SWIFTCOPTERS,Switzerland,N
Skyrover CC,,WLK,SKYWATCH,South Africa,N
Safarilink Aviation,,XLK,SAFARILINK,Kenya,N
SENEAM,,XMX,SENEAM,Mexico,N
Southport Air Service,,XPG,,United States,N
Spectrum Air Service,,XSA,,United States,N
Stephenville Aviation Services,,XSN,,Canada,N
Servicios Aereos Textra,,XTA,TEXTRA,Mexico,N
Sector Airlines,,XTR,EXTER,Canada,N
Skyplan Services,,XXS,,Canada,N
Stewart Aviation Services,,YBE,YELLOW BIRD,United States,N
Sirin,R1,,,,N
Star Air,S6,,,Denmark,N
Servicios Aereos Integrales / Flyant,,FYA,FLYANT,Spain,N
State Flight Academy of Ukraine,,UFA,FLIGHT ACADEMY,Ukraine,N
Trans Jet Airways,,SWL,TRANSJET,Sweden,N
Turbot Air Cargo,,TAC,TURBOT,Senegal,N
Tranporte Aereo Dominicano,,TAD,TRANS DOMINICAN,Dominican Republic,N
TAME,EQ,TAE,TAME,Ecuador,Y
Trans International Express Aviation,,BAP,BIG APPLE,United States,N
TAG Aviation USA,,TAG,TAG U-S,United States,N
Talair,,TAL,TALAIR,Papua New Guinea,N
TAM Brazilian Airlines,JJ,TAM,TAM,Brazil,Y
Transaustralian Air Express,,AUC,AUSCARGO,Australia,N
TAP Portugal,TP,TAP,AIR PORTUGAL,Portugal,Y
Tunisair,TU,TAR,TUNAIR,Tunisia,Y
Transportes Aereos Tauro,,TAU,TRANSTAURO,Mexico,N
Travelair,,TAX,TRAVELAIR,Germany,N
TNT Airways,3V,TAY,QUALITY,Belgium,N
Transbrasil,,TBA,TRANSBRASIL,Brazil,N
Turbine Air Cargo UK,,TBC,,United Kingdom,N
Thunderbird Tours,,TBD,ORCA,Canada,N
Tropical Airways,M7,TBG,,Haiti,N
Trinity Air Bahamas,,TBH,,Bahamas,N
TAB Express International,,TBI,TAB INTERNATIONAL,United States,N
Taban Air Lines,,TBM,TABAN AIR,Iran,N
Teebah Airlines,,TBN,TEEBAH,Sierra Leone,N
Tubelair,,TBR,TUBELAIR,Tunisia,N
Tobago Express,,TBX,TABEX,Trinidad and Tobago,N
Tropican Air Services,,TCA,TROPICANA,Egypt,N
Transporte del Caribe,,TCB,TRANSCARIBE,Colombia,N
Trans Continental Airlines,,TCC,TRANSCAL,Sudan,N
Tchad Airlines,,TCD,TCHADLINES,Chad,N
Trans-Colorado Airlines,,TCE,TRANS-COLORADO,United States,N
Thai Air Cargo,T2,TCG,THAI CARGO,Thailand,Y
Transcontinental Air,,TCH,TRANS GULF,Bahrain,N
Teledyne Continental Motors,,TCM,TELEDYNE,United States,N
Trans Continental Airlines,,TCN,TRANSCON,United States,N
Transcorp Airways,,TCP,TRANSCORP,United Kingdom,N
Transcontinental Sur,,TCT,TRANS-CONT,Uruguay,N
Transglobal Airways Corporation,,TCU,TRANSGLOBAL,Philippines,N
Thomas Cook Airlines,FQ,TCW,THOMAS COOK,Belgium,Y
Thomas Cook Airlines,MT,TCX,KESTREL,United Kingdom,Y
Twin Cities Air Service,,TCY,TWIN CITY,United States,N
Tadair,,TDC,TADAIR,Spain,N
Tellavia / Flight One,,TDE,TELLURIDE,United States,N
Transportes Aereos de Ixtlan,,TDI,TRANSIXTLAN,Mexico,N
Tandem Aero,TQ,TDM,TANDEM,Moldova,N
TRADO,,TDO,TRADO,Dominican Republic,N
Trade Air,,TDR,TRADEAIR,Croatia,N
Taxi Aero Nacional Del Evora,,TDV,TAXI EVORA,Mexico,N
Tradewinds Airlines,,TDX,TRADEWINDS EXPRESS,United States,N
Tenir Airlines,,TEB,TENIR AIR,Kyrgyzstan,N
Teamline Air,L9,TLW,Teamline,Austria,N
Tecnicas Fotograficas,,TEF,TECFOTO,Spain,N
Tempelhof Airways,,TEH,TEMPELHOF,United States,N
Telford Aviation,,TEL,TELFORD,United States,N
Tech-Mont Helicopter Company,,TEM,TECHMONT,Slovakia,N
Tennessee Airways,,TEN,TENNESSEE,United States,N
Territorial Airlines,,TER,TERRI-AIRE,United States,N
TAES Transportes Aereos de El Salvador,,TES,TAES,El Salvador,N
Transeuropean Airlines,UE,TEP,TRANSEURLINE,Russia,N
Tepavia-Trans Airlines,,TET,TEPAVIA,Moldova,N
Trans-Florida Airlines,,TFA,TRANS FLORIDA,United States,N
Tair Airways,,TFB,ROYAL TEE-AIR,Philippines,N
Talon Air,,TFF,TALON FLIGHT,United States,N
Trabajos Aereos Murcianos,,AIM,PIJO,Spain,N
Thai Flying Helicopter Service,,TFH,THAI HELICOPTER,Thailand,N
Transport Facilitators,,TFI,,United States,N
Transafrik International,,TFK,,Sao Tome and Principe,N
Transportes Aereos del Pacifico,,TFO,TRANSPORTES PACIFICO,Mexico,N
Thai Flying Service,,TFT,THAI FLYING,Thailand,N
Transportes Aereos San Rafael,,SRF,SAN RAFEAL,Chile,N
Tayside Aviation,,TFY,TAYSIDE,United Kingdom,N
TG Aviation,,TGC,THANET,United Kingdom,N
Trabajos Aereos,,TGE,TASA,Spain,N
Transportes Aereos Regionales,,TGI,TRANSPORTE REGIONAL,Mexico,N
TAG Aviation Espana,,TGM,TAG ESPANA,Spain,N
Trigana Air Service,,TGN,TRIGANA,Indonesia,Y
Titan Airways,ZT,AWC,ZAP,United Kingdom,N
Transport Canada,,TGO,TRANSPORT,Canada,N
Tiger Airways,TR,TGW,GO CAT,Singapore,Y
Tiger Airways Australia,TT,TGW,GO CAT,Australia,Y
Transair Gabon],,TGX,TRANSGABON,Gabon,N
Trans Guyana Airways,,TGY,TRANS GUYANA,Guyana,N
Thai Airways International,TG,THA,THAI,Thailand,Y
Tar Heel Aviation,,THC,TARHEEL,United States,N
Toumai Air Tchad,,THE,TOUMAI AIR,Chad,N
Touraine Helicoptere,,THF,TOURAINE HELICO,France,N
Thai Global Airline,,THG,THAI GLOBAL,Thailand,N
Thai Jet Intergroup,,THJ,THAI JET,Thailand,N
Turk Hava Kurumu Hava Taksi Isletmesi,,THK,HUR KUS,Turkey,Y
Thai AirAsia,FD,AIQ,THAI ASIA,Thailand,Y
TACA De Honduras,,THO,LEMPIRA,Honduras,N
Tehran Airline,,THR,TEHRAN AIR,Iran,N
Thunder Airlines,,THU,AIR THUNDER,Canada,N
Turkish Airlines,TK,THY,TURKAIR,Turkey,Y
Trans Helicoptere Service,,THZ,LYON HELIJET,France,N
Trans International Airlines,,TIA,TRANS INTERNATIONAL,United States,N
Travel International Air Charters,,TIC,TRAVEL INTERNATIONAL,Zambia,N
Time Air,,TIE,TIME AIR,Czech Republic,N
Tic Air,,TIK,TICAIR,Australia,N
Tajikistan International Airlines,,TIL,TIL,Tajikistan,Y
TEAM Transportes Aereos,,TIM,TEAM BRASIL,Brazil,N
Taino Tours,,TIN,TAINO,Dominican Republic,N
Tesis,,TIS,TESIS,Russia,N
Transcarga Intl Airways,,TIW,TIACA,Venezuela,N
Tajikair,,TJK,TAJIKAIR,Tajikistan,N
Tien-Shan,,TJN,NERON,Kazakhstan,N
Tyrolean Jet Service,,TJS,TYROLJET,Austria,N
Twin Jet,T7,TJT,TWINJET,France,Y
Tikal Jets Airlines,,TKC,TIKAL,Guatemala,N
Take Air Line,,TKE,ISLAND BIRD,France,N
Tropical International Airways,,TKX,TROPEXPRESS,Saint Kitts and Nevis,N
Thai Sky Airlines,9I,TKY,THAI SKY,Thailand,N
Translift Airways,,TLA,TRANSLIFT,Ireland,Y
Transport Africa,,TLF,TRANS-LEONE,Sierra Leone,N
Trans Atlantic Airlines,,TLL,ATLANTIC LEONE,Sierra Leone,N
Eagle Canyon Airlines,,TLO,TALON AIR,United States,N
Tulip Air,TD,TLP,TULIPAIR,Netherland,N
Tunisavia,,TAJ,TUNISAVIA,Tunisia,N
TLC Air,,TLS,TEALSY,United States,N
Turtle Airways,,TLT,TURTLE,Fiji,N
Travelair,,TLV,PAJAROS,Uruguay,N
Telesis Transair,,TLX,TELESIS,United States,N
Top-Fly,,TLY,TOPFLY,Spain,N
Trans Mediterranean Airlines,TL,TMA,TANGO LIMA,Lebanon,Y
Transmed Airlines,,TMD,,Egypt,N
Tri-MG Intra Asia Airlines,GY,TMG,TRILINES,Indonesia,N
Taxis Turisticos Marakame,,TMH,TAXIMARAKAME,Mexico,N
Tamir Airways,,TMI,TAMIRWAYS,Israel,N
Tomahawk Airways,,TMK,TOMAHAWK,United States,N
TAM,,TML,TAM AIRLINE,Madagascar,N
TMC Airlines,,TMM,WILLOW RUN,United States,N
TRAM,,TMQ,TRAM AIR,Mauritania,N
Timberline Air,,TMR,TIMBER,Canada,N
Temsco Helicopters,,TMS,TEMSCO,United States,N
Trans Midwest Airlines,,TMT,TRANS MIDWEST,United States,N
Tramon Air,,TMX,TRAMON,South Africa,N
Transportes Aereos del Mundo Maya,,TMY,MUNDO MAYA,Mexico,N
Tranporte Amazonair,,TMZ,TRANS AMAZON,Venezuela,N
Trans Air-Benin,,TNB,TRANS-BENIN,Benin,N
Taxis Aereos del Noroeste,,TNE,TAXINOROESTE,Mexico,N
Transafricaine,,TNF,TRANSFAS,Burkina Faso,N
Tennessee Air National Guard 164th Airlift Group,,TNG,,United States,N
Transair International Linhas Aereas,,TNI,TRANSINTER,United States,N
Tengeriyn Ulaach Shine,,TNL,SKY HORSE,Mongolia,N
Tiara Air,3P,TNM,TIARA,Aruba,Y
Transped Aviation,,TNP,TRANSPED,Austria,N
Tanana Air Services,,TNR,TAN AIR,United States,N
Trans North Turbo Air,,TNT,TRANS NORTH,Canada,N
Transnorthern,,TNV,TRANSNORTHERN,United States,N
Trans Nation Airways,,TNW,TRANS-NATION,Ethiopia,N
Trener Ltd,,TNX,TRAINER,Hungary,N
Twin Town Leasing Company,,TNY,TWINCAL,United States,N
Tobruk Air,7T,TOB,TOBRUK AIR,Libya,N
TOJ Airlines,,TOJ,TOJ AIRLINE,Tajikistan,N
Tol-Air Services,TI,TOL,TOL AIR,United States,N
Thomsonfly,BY,TOM,TOMSON,United Kingdom,Y
Top Air,,TOP,AIR TOP,Turkey,N
Toronto Airways,,TOR,TORONTAIR,Canada,N
Tropic Air,PM,TOS,TROPISER,Belize,Y
Totavia,,TOT,,Canada,N
Tower Air,FF,TOW,TEE AIR,United States,N
Toyota Canada,,TOY,TOYOTA,Canada,N
TAMPA,QT,TPA,TAMPA,Colombia,Y
Top Speed,,TPD,TOP SPEED,Austria,N
Taxis Aereos del Pacifico,,TPF,TAXIPACIFICO,Mexico,N
Transportes Aereos Pegaso,,TPG,TRANSPEGASO,Mexico,N
TAR Interpilot,,TPL,INTERPILOT,Mauritania,N
